Rank,Gene,
1,UBC,
2,NOTCH1,
3,EGFR,
4,ALB,
5,APLP2,
6,APLP1,
7,CP,
8,PRDM10,
9,APBA2,
10,NAE1,
11,NCSTN,
12,SHC1,
13,KAT5,
14,TSPO,
15,BACE1,
16,APBA3,
17,BLMH,
18,GEN1,
19,APBA1,
20,TP53,
21,TYK2,
22,ITGA2,
23,MYB,
24,FURIN,
25,BACE2,
26,STXBP1,
27,PPARG,
28,APBB1,
29,TFCP2,
30,JAK2,
31,KIF17,
32,PTBP1,
33,PID1,
34,DDX4,
35,TDRKH,
36,SRC,
37,HIP1R,
38,P2RX2,
39,MEGF10,
40,TF,
41,ESR1,
42,AKT1,
43,SPI1,
44,NFKB1,
45,PTGS1,
46,ATP6V0D1,
47,ATP6V0D2,
48,IL12B,
49,NGFR,
50,IL23R,
51,HSPA5,
52,BUB1,
53,RAP2A,
54,TTN,
55,SLC11A2,
56,IL12RB1,
57,PICALM,
58,RAP2B,
59,IL23A,
60,MYLK,
61,RAP2C,
62,MT-CO2,
63,PDCD6,
64,SPEG,
65,JUN,
66,F5,
67,DENND1B,
68,MPEG1,
69,TFRC,
70,AR,
71,PPARA,
72,NANOG,
73,CASR,
74,DAZL,
75,MME,
76,BDNF,
77,MTHFR,
78,PLAUR,
79,PIWIL1,
80,TNF,
81,INS,
82,ADAM17,
83,PCSK7,
84,NME1-NME2,
85,PCSK5,
86,CSNK2A1,
87,PCSK1,
88,MMP9,
89,POU5F1,
90,PSENEN,
91,PCSK4,
92,TDRD1,
93,ZBTB16,
94,NME2,
95,PUM1,
96,LIN28A,
97,PRDM14,
98,DND1,
99,CYP26B1,
100,DMRT1,
101,SYCP3,
102,PRDM1,
103,DDX3Y,
104,NEUROG3,
105,ADGRA3,
106,PUM2,
107,DDX3X,
108,ALPL,
109,TIAL1,
110,TIMP1,
111,GAPDH,
112,BMP8B,
113,SLC40A1,
114,CTNNB1,
115,B2M,
116,IFITM3,
117,MMP2,
118,GTSF1,
119,NR5A1,
120,IGF2R,
121,CTSB,
122,RBM44,
123,TRIM43,
124,NTS,
125,FOS,
126,UBB,
127,NOTCH3,
128,TFR2,
129,SLC11A1,
130,PCSK9,
131,IREB2,
132,HAMP,
133,HLA-A,
134,ERBB4,
135,NOTCH2,
136,HEPH,
137,HLA-B,
138,RAC3,
139,HLA-C,
140,CYBRD1,
141,ACO1,
142,SYVN1,
143,VEGFA,
144,IDE,
145,HGS,
146,SLC39A14,
147,MGAM,
148,SLC39A1,
